symbol,date,price
Grammar,Jan 2000,39.81
Grammar,Feb 2000,36.35
Grammar,Mar 2000,43.22
Grammar,Apr 2000,28.37
Grammar,May 2000,25.45
Grammar,Jun 2000,32.54
Grammar,Jul 2000,28.4
Grammar,Aug 2000,28.4
Grammar,Sep 2000,24.53
Grammar,Oct 2000,28.02
Grammar,Nov 2000,23.34
Grammar,Dec 2000,17.65
Grammar,Jan 2001,24.84
Grammar,Feb 2001,24
Grammar,Mar 2001,22.25
Grammar,Apr 2001,27.56
Grammar,May 2001,28.14
Grammar,Jun 2001,29.7
Grammar,Jul 2001,26.93
Grammar,Aug 2001,23.21
Grammar,Sep 2001,20.82
Grammar,Oct 2001,23.65
Grammar,Nov 2001,26.12
Grammar,Dec 2001,26.95
Grammar,Jan 2002,25.92
Grammar,Feb 2002,23.73
Grammar,Mar 2002,24.53
Grammar,Apr 2002,21.26
Grammar,May 2002,20.71
Grammar,Jun 2002,22.25
Grammar,Jul 2002,19.52
Grammar,Aug 2002,19.97
Grammar,Sep 2002,17.79
Grammar,Oct 2002,21.75
Grammar,Nov 2002,23.46
Grammar,Dec 2002,21.03
Grammar,Jan 2003,19.31
Grammar,Feb 2003,19.34
Grammar,Mar 2003,19.76
Grammar,Apr 2003,20.87
Grammar,May 2003,20.09
Grammar,Jun 2003,20.93
Grammar,Jul 2003,21.56
Grammar,Aug 2003,21.65
Grammar,Sep 2003,22.69
Grammar,Oct 2003,21.45
Grammar,Nov 2003,21.1
Grammar,Dec 2003,22.46
Grammar,Jan 2004,22.69
Grammar,Feb 2004,21.77
Grammar,Mar 2004,20.46
Grammar,Apr 2004,21.45
Grammar,May 2004,21.53
Grammar,Jun 2004,23.44
Grammar,Jul 2004,23.38
Grammar,Aug 2004,22.47
Grammar,Sep 2004,22.76
Grammar,Oct 2004,23.02
Grammar,Nov 2004,24.6
Grammar,Dec 2004,24.52
Grammar,Jan 2005,24.11
Grammar,Feb 2005,23.15
Grammar,Mar 2005,22.24
Grammar,Apr 2005,23.28
Grammar,May 2005,23.82
Grammar,Jun 2005,22.93
Grammar,Jul 2005,23.64
Grammar,Aug 2005,25.35
Grammar,Sep 2005,23.83
Grammar,Oct 2005,23.8
Grammar,Nov 2005,25.71
Grammar,Dec 2005,24.29
Grammar,Jan 2006,26.14
Grammar,Feb 2006,25.04
Grammar,Mar 2006,25.36
Grammar,Apr 2006,22.5
Grammar,May 2006,21.19
Grammar,Jun 2006,21.8
Grammar,Jul 2006,22.51
Grammar,Aug 2006,24.13
Grammar,Sep 2006,25.68
Grammar,Oct 2006,26.96
Grammar,Nov 2006,27.66
Grammar,Dec 2006,28.13
Grammar,Jan 2007,29.07
Grammar,Feb 2007,26.63
Grammar,Mar 2007,26.35
Grammar,Apr 2007,28.3
Grammar,May 2007,29.11
Grammar,Jun 2007,27.95
Grammar,Jul 2007,27.5
Grammar,Aug 2007,27.34
Grammar,Sep 2007,28.04
Grammar,Oct 2007,35.03
Grammar,Nov 2007,32.09
Grammar,Dec 2007,34
Grammar,Jan 2008,31.13
Grammar,Feb 2008,26.07
Grammar,Mar 2008,27.21
Grammar,Apr 2008,27.34
Grammar,May 2008,27.25
Grammar,Jun 2008,26.47
Grammar,Jul 2008,24.75
Grammar,Aug 2008,26.36
Grammar,Sep 2008,25.78
Grammar,Oct 2008,21.57
Grammar,Nov 2008,19.66
Grammar,Dec 2008,18.91
Grammar,Jan 2009,16.63
Grammar,Feb 2009,15.81
Grammar,Mar 2009,17.99
Grammar,Apr 2009,19.84
Grammar,May 2009,20.59
Grammar,Jun 2009,23.42
Grammar,Jul 2009,23.18
Grammar,Aug 2009,24.43
Grammar,Sep 2009,25.49
Grammar,Oct 2009,27.48
Grammar,Nov 2009,29.27
Grammar,Dec 2009,30.34
Grammar,Jan 2010,28.05
Grammar,Feb 2010,28.67
Grammar,Mar 2010,28.8
Imagery,Jan 2000,64.56
Imagery,Feb 2000,68.87
Imagery,Mar 2000,67
Imagery,Apr 2000,55.19
Imagery,May 2000,48.31
Imagery,Jun 2000,36.31
Imagery,Jul 2000,30.12
Imagery,Aug 2000,41.5
Imagery,Sep 2000,38.44
Imagery,Oct 2000,36.62
Imagery,Nov 2000,24.69
Imagery,Dec 2000,15.56
Imagery,Jan 2001,17.31
Imagery,Feb 2001,10.19
Imagery,Mar 2001,10.23
Imagery,Apr 2001,15.78
Imagery,May 2001,16.69
Imagery,Jun 2001,14.15
Imagery,Jul 2001,12.49
Imagery,Aug 2001,8.94
Imagery,Sep 2001,5.97
Imagery,Oct 2001,6.98
Imagery,Nov 2001,11.32
Imagery,Dec 2001,10.82
Imagery,Jan 2002,14.19
Imagery,Feb 2002,14.1
Imagery,Mar 2002,14.3
Imagery,Apr 2002,16.69
Imagery,May 2002,18.23
Imagery,Jun 2002,16.25
Imagery,Jul 2002,14.45
Imagery,Aug 2002,14.94
Imagery,Sep 2002,15.93
Imagery,Oct 2002,19.36
Imagery,Nov 2002,23.35
Imagery,Dec 2002,18.89
Imagery,Jan 2003,21.85
Imagery,Feb 2003,22.01
Imagery,Mar 2003,26.03
Imagery,Apr 2003,28.69
Imagery,May 2003,35.89
Imagery,Jun 2003,36.32
Imagery,Jul 2003,41.64
Imagery,Aug 2003,46.32
Imagery,Sep 2003,48.43
Imagery,Oct 2003,54.43
Imagery,Nov 2003,53.97
Imagery,Dec 2003,52.62
Imagery,Jan 2004,50.4
Imagery,Feb 2004,43.01
Imagery,Mar 2004,43.28
Imagery,Apr 2004,43.6
Imagery,May 2004,48.5
Imagery,Jun 2004,54.4
Imagery,Jul 2004,38.92
Imagery,Aug 2004,38.14
Imagery,Sep 2004,40.86
Imagery,Oct 2004,34.13
Imagery,Nov 2004,39.68
Imagery,Dec 2004,44.29
Imagery,Jan 2005,43.22
Imagery,Feb 2005,35.18
Imagery,Mar 2005,34.27
Imagery,Apr 2005,32.36
Imagery,May 2005,35.51
Imagery,Jun 2005,33.09
Imagery,Jul 2005,45.15
Imagery,Aug 2005,42.7
Imagery,Sep 2005,45.3
Imagery,Oct 2005,39.86
Imagery,Nov 2005,48.46
Imagery,Dec 2005,47.15
Imagery,Jan 2006,44.82
Imagery,Feb 2006,37.44
Imagery,Mar 2006,36.53
Imagery,Apr 2006,35.21
Imagery,May 2006,34.61
Imagery,Jun 2006,38.68
Imagery,Jul 2006,26.89
Imagery,Aug 2006,30.83
Imagery,Sep 2006,32.12
Imagery,Oct 2006,38.09
Imagery,Nov 2006,40.34
Imagery,Dec 2006,39.46
Imagery,Jan 2007,37.67
Imagery,Feb 2007,39.14
Imagery,Mar 2007,39.79
Imagery,Apr 2007,61.33
Imagery,May 2007,69.14
Imagery,Jun 2007,68.41
Imagery,Jul 2007,78.54
Imagery,Aug 2007,79.91
Imagery,Sep 2007,93.15
Imagery,Oct 2007,89.15
Imagery,Nov 2007,90.56
Imagery,Dec 2007,92.64
Imagery,Jan 2008,77.7
Imagery,Feb 2008,64.47
Imagery,Mar 2008,71.3
Imagery,Apr 2008,78.63
Imagery,May 2008,81.62
Imagery,Jun 2008,73.33
Imagery,Jul 2008,76.34
Imagery,Aug 2008,80.81
Imagery,Sep 2008,72.76
Imagery,Oct 2008,57.24
Imagery,Nov 2008,42.7
Imagery,Dec 2008,51.28
Imagery,Jan 2009,58.82
Imagery,Feb 2009,64.79
Imagery,Mar 2009,73.44
Imagery,Apr 2009,80.52
Imagery,May 2009,77.99
Imagery,Jun 2009,83.66
Imagery,Jul 2009,85.76
Imagery,Aug 2009,81.19
Imagery,Sep 2009,93.36
Imagery,Oct 2009,118.81
Imagery,Nov 2009,135.91
Imagery,Dec 2009,134.52
Imagery,Jan 2010,125.41
Imagery,Feb 2010,118.4
Imagery,Mar 2010,128.82
Cliche,Jan 2000,100.52
Cliche,Feb 2000,92.11
Cliche,Mar 2000,106.11
Cliche,Apr 2000,99.95
Cliche,May 2000,96.31
Cliche,Jun 2000,98.33
Cliche,Jul 2000,100.74
Cliche,Aug 2000,118.62
Cliche,Sep 2000,101.19
Cliche,Oct 2000,88.5
Cliche,Nov 2000,84.12
Cliche,Dec 2000,76.47
Cliche,Jan 2001,100.76
Cliche,Feb 2001,89.98
Cliche,Mar 2001,86.63
Cliche,Apr 2001,103.7
Cliche,May 2001,100.82
Cliche,Jun 2001,102.35
Cliche,Jul 2001,94.87
Cliche,Aug 2001,90.25
Cliche,Sep 2001,82.82
Cliche,Oct 2001,97.58
Cliche,Nov 2001,104.5
Cliche,Dec 2001,109.36
Cliche,Jan 2002,97.54
Cliche,Feb 2002,88.82
Cliche,Mar 2002,94.15
Cliche,Apr 2002,75.82
Cliche,May 2002,72.97
Cliche,Jun 2002,65.31
Cliche,Jul 2002,63.86
Cliche,Aug 2002,68.52
Cliche,Sep 2002,53.01
Cliche,Oct 2002,71.76
Cliche,Nov 2002,79.16
Cliche,Dec 2002,70.58
Cliche,Jan 2003,71.22
Cliche,Feb 2003,71.13
Cliche,Mar 2003,71.57
Cliche,Apr 2003,77.47
Cliche,May 2003,80.48
Cliche,Jun 2003,75.42
Cliche,Jul 2003,74.28
Cliche,Aug 2003,75.12
Cliche,Sep 2003,80.91
Cliche,Oct 2003,81.96
Cliche,Nov 2003,83.08
Cliche,Dec 2003,85.05
Cliche,Jan 2004,91.06
Cliche,Feb 2004,88.7
Cliche,Mar 2004,84.41
Cliche,Apr 2004,81.04
Cliche,May 2004,81.59
Cliche,Jun 2004,81.19
Cliche,Jul 2004,80.19
Cliche,Aug 2004,78.17
Cliche,Sep 2004,79.13
Cliche,Oct 2004,82.84
Cliche,Nov 2004,87.15
Cliche,Dec 2004,91.16
Cliche,Jan 2005,86.39
Cliche,Feb 2005,85.78
Cliche,Mar 2005,84.66
Cliche,Apr 2005,70.77
Cliche,May 2005,70.18
Cliche,Jun 2005,68.93
Cliche,Jul 2005,77.53
Cliche,Aug 2005,75.07
Cliche,Sep 2005,74.7
Cliche,Oct 2005,76.25
Cliche,Nov 2005,82.98
Cliche,Dec 2005,76.73
Cliche,Jan 2006,75.89
Cliche,Feb 2006,75.09
Cliche,Mar 2006,77.17
Cliche,Apr 2006,77.05
Cliche,May 2006,75.04
Cliche,Jun 2006,72.15
Cliche,Jul 2006,72.7
Cliche,Aug 2006,76.35
Cliche,Sep 2006,77.26
Cliche,Oct 2006,87.06
Cliche,Nov 2006,86.95
Cliche,Dec 2006,91.9
Cliche,Jan 2007,93.79
Cliche,Feb 2007,88.18
Cliche,Mar 2007,89.44
Cliche,Apr 2007,96.98
Cliche,May 2007,101.54
Cliche,Jun 2007,100.25
Cliche,Jul 2007,105.4
Cliche,Aug 2007,111.54
Cliche,Sep 2007,112.6
Cliche,Oct 2007,111
Cliche,Nov 2007,100.9
Cliche,Dec 2007,103.7
Cliche,Jan 2008,102.75
Cliche,Feb 2008,109.64
Cliche,Mar 2008,110.87
Cliche,Apr 2008,116.23
Cliche,May 2008,125.14
Cliche,Jun 2008,114.6
Cliche,Jul 2008,123.74
Cliche,Aug 2008,118.16
Cliche,Sep 2008,113.53
Cliche,Oct 2008,90.24
Cliche,Nov 2008,79.65
Cliche,Dec 2008,82.15
Cliche,Jan 2009,89.46
Cliche,Feb 2009,90.32
Cliche,Mar 2009,95.09
Cliche,Apr 2009,101.29
Cliche,May 2009,104.85
Cliche,Jun 2009,103.01
Cliche,Jul 2009,116.34
Cliche,Aug 2009,117
Cliche,Sep 2009,118.55
Cliche,Oct 2009,119.54
Cliche,Nov 2009,125.79
Cliche,Dec 2009,130.32
Cliche,Jan 2010,121.85
Cliche,Feb 2010,127.16
Cliche,Mar 2010,125.55
Bathos,Jan 2000,25.94
Bathos,Feb 2000,28.66
Bathos,Mar 2000,33.95
Bathos,Apr 2000,31.01
Bathos,May 2000,21
Bathos,Jun 2000,26.19
Bathos,Jul 2000,25.41
Bathos,Aug 2000,30.47
Bathos,Sep 2000,12.88
Bathos,Oct 2000,9.78
Bathos,Nov 2000,8.25
Bathos,Dec 2000,7.44
Bathos,Jan 2001,10.81
Bathos,Feb 2001,9.12
Bathos,Mar 2001,11.03
Bathos,Apr 2001,12.74
Bathos,May 2001,9.98
Bathos,Jun 2001,11.62
Bathos,Jul 2001,9.4
Bathos,Aug 2001,9.27
Bathos,Sep 2001,7.76
Bathos,Oct 2001,8.78
Bathos,Nov 2001,10.65
Bathos,Dec 2001,10.95
Bathos,Jan 2002,12.36
Bathos,Feb 2002,10.85
Bathos,Mar 2002,11.84
Bathos,Apr 2002,12.14
Bathos,May 2002,11.65
Bathos,Jun 2002,8.86
Bathos,Jul 2002,7.63
Bathos,Aug 2002,7.38
Bathos,Sep 2002,7.25
Bathos,Oct 2002,8.03
Bathos,Nov 2002,7.75
Bathos,Dec 2002,7.16
Bathos,Jan 2003,7.18
Bathos,Feb 2003,7.51
Bathos,Mar 2003,7.07
Bathos,Apr 2003,7.11
Bathos,May 2003,8.98
Bathos,Jun 2003,9.53
Bathos,Jul 2003,10.54
Bathos,Aug 2003,11.31
Bathos,Sep 2003,10.36
Bathos,Oct 2003,11.44
Bathos,Nov 2003,10.45
Bathos,Dec 2003,10.69
Bathos,Jan 2004,11.28
Bathos,Feb 2004,11.96
Bathos,Mar 2004,13.52
Bathos,Apr 2004,12.89
Bathos,May 2004,14.03
Bathos,Jun 2004,16.27
Bathos,Jul 2004,16.17
Bathos,Aug 2004,17.25
Bathos,Sep 2004,19.38
Bathos,Oct 2004,26.2
Bathos,Nov 2004,33.53
Bathos,Dec 2004,32.2
Bathos,Jan 2005,38.45
Bathos,Feb 2005,44.86
Bathos,Mar 2005,41.67
Bathos,Apr 2005,36.06
Bathos,May 2005,39.76
Bathos,Jun 2005,36.81
Bathos,Jul 2005,42.65
Bathos,Aug 2005,46.89
Bathos,Sep 2005,53.61
Bathos,Oct 2005,57.59
Bathos,Nov 2005,67.82
Bathos,Dec 2005,71.89
Bathos,Jan 2006,75.51
Bathos,Feb 2006,68.49
Bathos,Mar 2006,62.72
Bathos,Apr 2006,70.39
Bathos,May 2006,59.77
Bathos,Jun 2006,57.27
Bathos,Jul 2006,67.96
Bathos,Aug 2006,67.85
Bathos,Sep 2006,76.98
Bathos,Oct 2006,81.08
Bathos,Nov 2006,91.66
Bathos,Dec 2006,84.84
Bathos,Jan 2007,85.73
Bathos,Feb 2007,84.61
Bathos,Mar 2007,92.91
Bathos,Apr 2007,99.8
Bathos,May 2007,121.19
Bathos,Jun 2007,122.04
Bathos,Jul 2007,131.76
Bathos,Aug 2007,138.48
Bathos,Sep 2007,153.47
Bathos,Oct 2007,189.95
Bathos,Nov 2007,182.22
Bathos,Dec 2007,198.08
Bathos,Jan 2008,135.36
Bathos,Feb 2008,125.02
Bathos,Mar 2008,143.5
Bathos,Apr 2008,173.95
Bathos,May 2008,188.75
Bathos,Jun 2008,167.44
Bathos,Jul 2008,158.95
Bathos,Aug 2008,169.53
Bathos,Sep 2008,113.66
Bathos,Oct 2008,107.59
Bathos,Nov 2008,92.67
Bathos,Dec 2008,85.35
Bathos,Jan 2009,90.13
Bathos,Feb 2009,89.31
Bathos,Mar 2009,105.12
Bathos,Apr 2009,125.83
Bathos,May 2009,135.81
Bathos,Jun 2009,142.43
Bathos,Jul 2009,163.39
Bathos,Aug 2009,168.21
Bathos,Sep 2009,185.35
Bathos,Oct 2009,188.5
Bathos,Nov 2009,199.91
Bathos,Dec 2009,210.73
Bathos,Jan 2010,192.06
Bathos,Feb 2010,204.62
Bathos,Mar 2010,223.02
